utc_time	profile	phase	t_ready_ms	t_content_ms	t_settled_ms	stalls_over_4ms	max_stall_ms	probe_ticks	objects_at_ready	objects_settled	chain_tags	information_tiles
2026-08-19T18:54:34Z	whale-8a-2000g-500c	cold	65.54	66.02	167.28	9	7.91	87	914	918	4	2
2026-08-19T18:54:34Z	whale-8a-2000g-500c	warm	70.87	71.32	173.34	3	6.83	103	916	918	4	2
2026-08-19T18:54:36Z	whale-8a-2000g-500c	cold	66.30	66.60	168.86	8	8.39	88	914	918	4	2
2026-08-19T18:54:36Z	whale-8a-2000g-500c	warm	71.61	72.54	123.21	3	6.09	71	918	918	4	2
2026-08-19T18:54:39Z	whale-8a-2000g-500c	cold	63.88	65.66	167.49	8	6.93	93	914	918	4	2
2026-08-19T18:54:39Z	whale-8a-2000g-500c	warm	75.39	75.69	178.51	9	9.84	96	911	918	4	2
2026-08-19T18:54:42Z	whale-8a-2000g-500c	cold	48.10	49.50	151.17	6	10.39	81	914	918	4	2
2026-08-19T18:54:42Z	whale-8a-2000g-500c	warm	56.79	57.04	159.19	5	9.63	91	914	918	4	2
2026-08-19T18:54:44Z	whale-8a-2000g-500c	cold	57.86	58.65	162.37	7	9.93	84	915	919	4	2
2026-08-19T18:54:44Z	whale-8a-2000g-500c	warm	54.52	54.76	156.17	2	5.53	95	915	918	4	2
2026-08-19T19:54:41Z	whale-8a-2000g-500c	cold	48.58	49.30	152.74	8	14.98	87	912	916	4	2
2026-08-19T19:54:41Z	whale-8a-2000g-500c	warm	54.21	54.46	156.27	3	4.34	114	913	916	4	2
2026-08-19T19:54:48Z	whale-8a-2000g-500c	cold	49.56	51.69	154.01	8	11.67	92	915	916	4	2
2026-08-19T19:54:48Z	whale-8a-2000g-500c	warm	56.46	56.77	159.80	3	5.53	115	912	916	4	2
2026-08-19T19:55:55Z	whale-8a-2000g-500c	cold	64.91	65.51	167.91	9	8.74	101	912	916	4	2
2026-08-19T19:55:55Z	whale-8a-2000g-500c	warm	55.91	56.19	157.91	2	5.35	113	912	916	4	2
2026-08-19T19:55:56Z	whale-8a-2000g-500c	cold	47.69	48.54	151.29	8	11.20	86	913	917	4	2
2026-08-19T19:55:56Z	whale-8a-2000g-500c	warm	74.01	75.51	176.33	5	5.73	119	915	916	4	2
2026-08-19T19:55:58Z	whale-8a-2000g-500c	cold	62.89	67.26	118.89	8	12.33	64	916	916	4	2
2026-08-19T19:55:58Z	whale-8a-2000g-500c	warm	55.74	55.98	158.14	3	6.82	109	913	916	4	2
2026-08-19T19:56:00Z	whale-8a-2000g-500c	cold	62.09	62.65	166.72	11	9.47	96	912	916	4	2
